gene,stability_score
IFI16,0.075
EHF,0.075
KRT15,0.075
TIMP1,0.075
OVOL2,0.075
AGR2,0.075
TNNT1,0.075
RHOC,0.075
APOL3,0.075
PYGL,0.075
STEAP2,0.075
EHD2,0.075
GNG11,0.075
ALDH7A1,0.075
MITF,0.075
CDCP1,0.075
PLAT,0.075
HOXA9,0.075
GSTM4,0.075
BEX2,0.075
PLPP3,0.075
GNAO1,0.075
MGP,0.075
PMEPA1,0.075
F2RL1,0.075
FHL2,0.075
TRIM47,0.075
SRPX,0.075
TMPRSS4,0.075
SNCG,0.075
S100A10,0.075
PLAUR,0.075
RASEF,0.075
STAC,0.075
HBEGF,0.075
GBP1,0.075
PALM2AKAP2,0.075
BATF,0.075
MYO1D,0.075
PRKCB,0.075
CD38,0.075
CPQ,0.075
INHBB,0.075
MTARC1,0.075
CARMIL2,0.075
SNX7,0.075
SCEL,0.075
DTX1,0.075
B4GALNT1,0.075
WWC1,0.075
AHR,0.075
GRB10,0.075
PRXL2A,0.075
ABCA3,0.075
GPC3,0.075
ETV4,0.075
CAPN2,0.075
ZNF738,0.075
TMEM132A,0.075
ABLIM3,0.075
COL16A1,0.075
IFFO1,0.075
APOBEC3C,0.075
RNF43,0.075
TEAD1,0.075
ANO9,0.075
FRMD4A,0.075
LAMC1,0.075
TMC5,0.075
ZNF528,0.075
TSPAN12,0.075
HACD1,0.075
TUBB2A,0.075
NHSL3,0.075
HES6,0.075
ADIRF,0.075
BTG2,0.075
BEX1,0.075
CAV2,0.075
CYB561,0.075
CACNG4,0.075
GSTO2,0.075
KIAA0040,0.075
ADAMTS12,0.075
CCL5,0.075
PLA2G4A,0.075
CARD11,0.075
CDC42EP5,0.075
NXN,0.075
LMO7,0.075
SRGN,0.075
BAIAP2L1,0.075
DBNDD1,0.075
SSBP2,0.075
TMEM125,0.075
SLAIN1,0.075
SYBU,0.075
CFB,0.075
AUTS2,0.075
KDM5D,0.075
MMP17,0.075
ARRB1,0.075
SRPX2,0.075
DIO2,0.075
CASP4,0.075
PTK2,0.075
PKIB,0.075
STAT5A,0.075
SEPTIN5,0.075
GAMT,0.075
LARP6,0.075
ISG15,0.075
F11R,0.075
SLPI,0.075
ZNF300,0.075
SCARA3,0.075
SPINT2,0.075
DDC,0.075
ME1,0.075
ETV5,0.075
TNFRSF14,0.075
CDKN2B,0.075
ROBO3,0.075
ENG,0.075
PLCB2,0.05
TM4SF1,0.05
DCT,0.05
CAV1,0.05
TNFRSF1A,0.05
MECOM,0.05
TNFRSF17,0.05
NNMT,0.05
GMPR,0.05
PLCD3,0.05
KRT7,0.05
IL16,0.05
DUSP2,0.05
RHOU,0.05
HBA1,0.05
IGF2BP3,0.05
LCN2,0.05
ELAPOR1,0.05
ARSJ,0.05
TOM1L1,0.05
MEGF6,0.05
ELF3,0.05
ATP8A1,0.05
SPIB,0.05
PIK3CD,0.05
CTNND1,0.05
KCNAB2,0.05
ITM2C,0.05
SCG3,0.05
RIPOR2,0.05
VANGL2,0.05
ZNF43,0.05
PLXNB3,0.05
CD24,0.05
INHBE,0.05
SYT7,0.05
SMIM10,0.05
CEBPA,0.05
GPM6B,0.05
FLRT3,0.05
COBL,0.05
ITGA11,0.05
SP100,0.05
NKX2-1,0.05
BOK,0.05
CBR3,0.05
KIAA0408,0.05
S100A16,0.05
KRT5,0.05
WFDC2,0.05
CEMIP2,0.05
LLGL2,0.05
B3GNT3,0.05
GPR87,0.05
TENM3,0.05
IRF4,0.05
VAV1,0.05
LYPD3,0.05
RCN3,0.05
COTL1,0.05
PSMB8,0.05
CHGA,0.05
SCRN1,0.05
MYLK,0.05
GATA2,0.05
KLF4,0.05
FKBP9,0.05
HTATIP2,0.05
SOX9,0.05
COL6A2,0.05
CAVIN1,0.05
POU2AF1,0.05
CCN2,0.05
PDGFC,0.05
LAYN,0.05
POPDC3,0.05
INPP5D,0.05
ATP1B1,0.05
SEPTIN10,0.05
DCN,0.05
ITGAL,0.05
WAS,0.05
DENND1C,0.05
SH2D3A,0.05
AGRN,0.05
TMEM45A,0.05
OBSL1,0.05
RAB38,0.05
CTTN,0.05
HOOK1,0.05
IFITM3,0.05
OAS2,0.05
EFEMP2,0.05
IGF2BP2,0.05
BMERB1,0.05
CLEC2B,0.05
CLU,0.05
C1orf116,0.05
TRPV2,0.05
LGALS3,0.05
TFAP2C,0.05
HEG1,0.05
DDR2,0.05
LMNA,0.05
SAA2,0.05
TPBG,0.05
FGFR4,0.05
CDC42EP1,0.05
LAMA5,0.05
ICAM2,0.05
CYP1B1,0.05
FSCN1,0.05
ATP2A3,0.05
GLUL,0.05
ID1,0.05
PMP22,0.05
BCAM,0.05
H2AJ,0.05
ADGRF1,0.05
SCNN1A,0.05
LAMB2,0.05
MSN,0.05
CD53,0.05
ERBB3,0.05
KRT13,0.05
HTRA1,0.05
TNFRSF12A,0.05
KLK6,0.05
COL17A1,0.05
ITGB4,0.05
PRSS8,0.05
HLA-B,0.05
MYOF,0.05
PLOD2,0.05
CXCR4,0.05
CCDC80,0.05
CD79A,0.05
WLS,0.05
IKZF1,0.05
FAM20C,0.05
LAPTM4B,0.05
FBXO17,0.05
UPP1,0.05
CALD1,0.05
MAGEA2B,0.05
KLK5,0.05
MRC2,0.05
PFN2,0.05
PROCR,0.05
PTPN7,0.05
KLF5,0.05
TPM1,0.05
CDH3,0.05
JAM3,0.05
CEACAM5,0.05
NREP,0.05
ESRP2,0.05
SNAI2,0.05
ITGB5,0.05
ASS1,0.05
GRB7,0.05
ERRFI1,0.05
PLEK2,0.05
MAP1B,0.05
PTPRCAP,0.05
IGFBPL1,0.05
KRT19,0.05
BSPRY,0.05
ANXA1,0.05
FAM114A1,0.05
RHBDF1,0.05
HSPG2,0.05
CHST15,0.05
NHERF2,0.05
MUC20,0.05
MRAS,0.05
BICC1,0.05
IL13RA1,0.05
DPYSL5,0.05
BHLHE41,0.05
ACAP1,0.05
DEF6,0.05
GPR176,0.05
SMIM3,0.05
ACSS1,0.05
PREX1,0.05
CLDN7,0.05
BCL2,0.05
GAS7,0.05
GBP3,0.05
SELPLG,0.05
FSTL1,0.05
TAGLN3,0.05
ARHGAP23,0.05
USH1C,0.05
ARHGAP9,0.05
MAGED4,0.05
TJP1,0.05
TINAGL1,0.05
FSD1,0.05
LARGE2,0.05
ARHGEF16,0.05
HOXA10,0.05
TRAF3IP3,0.05
HES1,0.05
LMCD1,0.05
DUSP5,0.05
TMBIM1,0.05
DUSP6,0.025
EPAS1,0.025
CRMP1,0.025
GRHL2,0.025
DOK3,0.025
TBX2,0.025
PTK2B,0.025
CCDC9B,0.025
MVP,0.025
AHNAK,0.025
KLHL6,0.025
CLMP,0.025
IFI44L,0.025
RND3,0.025
PROM2,0.025
NECTIN2,0.025
ZNF532,0.025
IL18,0.025
FOXA1,0.025
MYB,0.025
CD79B,0.025
FRMD6,0.025
ALDH3B1,0.025
CLCF1,0.025
MS4A1,0.025
ALDH3A1,0.025
NECTIN3,0.025
ARHGDIB,0.025
ANTXR1,0.025
S100P,0.025
SPINT1,0.025
OAS1,0.025
RASSF5,0.025
PHLDA2,0.025
RDX,0.025
LIF,0.025
MMP2,0.025
PHLDA1,0.025
TPD52L1,0.025
CAPG,0.025
TUBA1A,0.025
IRAG2,0.025
CCDC69,0.025
CTSL,0.025
PKP3,0.025
COL5A2,0.025
MAGEA12,0.025
SLC43A1,0.025
CPE,0.025
LYZ,0.025
MZB1,0.025
ABCC3,0.025
EMP3,0.025
CORO1A,0.025
SERPINB5,0.025
CNN3,0.025
JCHAIN,0.025
ANXA4,0.025
VIM,0.025
CDCA7L,0.025
COL6A3,0.025
KRT8,0.025
LYL1,0.025
SYP,0.025
CD74,0.025
ANXA2,0.025
AKR1C2,0.025
KIRREL1,0.025
WWTR1,0.025
TNS4,0.025
LGALS1,0.025
TSPO,0.025
SLC22A17,0.025
KLK10,0.025
FOSL1,0.025
MST1R,0.025
ANXA8L1,0.025
OSMR,0.025
PTGR1,0.025
TCEAL4,0.025
HGD,0.025
ERP27,0.025
TNC,0.025
EPCAM,0.025
EPHA2,0.025
GPX2,0.025
JUP,0.025
MUC13,0.025
CXCL2,0.025
HLA-F,0.025
AFF3,0.025
PXDC1,0.025
DOCK10,0.025
SPARC,0.025
FXYD3,0.025
DMTN,0.025
AIF1L,0.025
NIBAN2,0.025
MARCKS,0.025
INAVA,0.025
PLEK,0.025
NPDC1,0.025
PRRX1,0.025
TMPRSS2,0.025
GSTM2,0.025
ALS2CL,0.025
SEMA6A,0.025
ERBB2,0.025
CLDN4,0.025
NECTIN4,0.025
TMC4,0.025
STING1,0.025
SLC6A8,0.025
ST14,0.025
SERPINB6,0.025
PRR15L,0.025
NCKAP1,0.025
AREG,0.025
SYT11,0.025
OASL,0.025
HOXB3,0.025
CHN1,0.025
MOXD1,0.025
ADAP1,0.025
PTMS,0.025
RTL8B,0.025
DSC2,0.025
FBXO27,0.025
XAGE1A,0.025
ADAMTSL4,0.025
HLA-E,0.025
IRF8,0.025
ATP8B2,0.025
MYH10,0.025
FAM83H,0.025
DAPP1,0.025
STOM,0.025
ARHGAP30,0.025
NCS1,0.025
NOTCH3,0.025
EPHA1,0.025
KRT6A,0.025
NCF4,0.025
LIMD2,0.025
PLEKHA6,0.025
RAB17,0.025
EPN3,0.025
CACNA2D1,0.025
FERMT2,0.025
S100A2,0.025
EML1,0.025
MAP4K1,0.025
SEPTIN3,0.025
ARHGEF5,0.025
MCTP2,0.025
LOXL2,0.025
DKK3,0.025
CERS4,0.025
PVR,0.025
GYPC,0.025
ARHGEF25,0.025
GFPT2,0.025
IFIT3,0.025
INSM1,0.0
SPEG,0.0
VPREB3,0.0
KDF1,0.0
TMEM184A,0.0
COL5A1,0.0
LIPH,0.0
MARVELD3,0.0
P2RY8,0.0
VIL1,0.0
CLDN3,0.0
MAP7,0.0
BCAR1,0.0
EXT1,0.0
AXIN2,0.0
TJP3,0.0
GMFG,0.0
IFIT1,0.0
LAMB3,0.0
FCRLA,0.0
COL3A1,0.0
SOX10,0.0
LAMC2,0.0
FGB,0.0
TMC8,0.0
PALM,0.0
RAB25,0.0
MPP1,0.0
KIFC3,0.0
GNG12,0.0
SLFN5,0.0
AMOTL2,0.0
MISP,0.0
C6orf132,0.0
GJB3,0.0
ANXA3,0.0
SPI1,0.0
IQANK1,0.0
RCSD1,0.0
ZNF608,0.0
CARD10,0.0
CCN1,0.0
ZEB1,0.0
TP63,0.0
APLP1,0.0
EMP1,0.0
ACTN1,0.0
NCKAP1L,0.0
S100B,0.0
DHRS3,0.0
AXL,0.0
MAGEA3,0.0
SV2A,0.0
CRB3,0.0
PLP1,0.0
MAL2,0.0
TMEM30B,0.0
EVI2B,0.0
YAP1,0.0
IRF6,0.0
SYDE1,0.0
PLAU,0.0
CKMT1B,0.0
NRROS,0.0
LIX1L,0.0
TRO,0.0
ITGA5,0.0
BICDL2,0.0
BTK,0.0
SEMA3B,0.0
PTX3,0.0
HSH2D,0.0
HLA-DRA,0.0
SH3BP4,0.0
CRIM1,0.0
EPS8L3,0.0
PTPRC,0.0
SASH3,0.0
GJB1,0.0
FUT3,0.0
CDS1,0.0
